date,levels
2022-11-17,"7161.529361833503,7335.5887113486615,7495.856269391977,7604.641907192164,7902.517807731003,8281.37434594619,8762.156964286341"
2022-11-18,"7161.529361833503,7335.5887113486615,7495.856269391977,7604.641907192164,7902.517807731003,8281.37434594619,8783.223791764283"
2022-11-21,"7161.529361833503,7335.5887113486615,7495.856269391977,7613.778327586331,7902.517807731003,8281.37434594619,8751.642506662149"
2022-11-22,"7161.529361833503,7335.5887113486615,7495.856269391977,7613.778327586331,7902.517807731003,8281.37434594619,8751.642506662149"
2022-11-23,"7161.529361833503,7335.5887113486615,7495.856269391977,7613.778327586331,7902.517807731003,8281.37434594619,8751.642506662149"
2022-11-24,"7160.132222277571,7333.136462354436,7500.889524923222,7897.459098448063,8273.306467826042,8754.606248242211"
2022-11-25,"7160.132222277571,7333.136462354436,7500.889524923222,7897.459098448063,8273.306467826042,8754.606248242211"
2022-11-28,"7161.919996923256,7318.282074906184,7497.0829504796475,7897.941198767962,8278.05852679845,8753.975163453475"
2022-11-29,"7161.919996923256,7318.282074906184,7497.0829504796475,7897.941198767962,8278.05852679845,8753.975163453475"
2022-11-30,"7160.920177628837,7315.140987042953,7504.5964331561345,7898.354572162486,8277.422744527807,8761.371945139837"
2022-12-01,"7160.920177628837,7304.7570508309145,7504.5964331561345,7898.354572162486,8277.422744527807,8761.371945139837,8988.283447374733"
2022-12-02,"7160.920177628837,7304.7570508309145,7504.5964331561345,7622.782224523424,7898.354572162486,8277.422744527807,8761.371945139837"
2022-12-05,"7160.920177628837,7304.7570508309145,7504.5964331561345,7622.782224523424,7898.354572162486,8277.422744527807,8761.371945139837"
2022-12-06,"7160.920177628837,7304.7570508309145,7504.5964331561345,7898.354572162486,8277.422744527807,8761.371945139837"
2022-12-07,"7160.920177628837,7304.7570508309145,7504.5964331561345,7898.354572162486,8277.422744527807,8761.371945139837"
2022-12-08,"7160.920177628837,7304.7570508309145,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837"
2022-12-09,"7160.920177628837,7304.7570508309145,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837"
2022-12-12,"7160.920177628837,7304.7570508309145,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837"
2022-12-13,"7160.920177628837,7304.7570508309145,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837"
2022-12-14,"7160.920177628837,7304.7570508309145,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837"
2022-12-15,"7160.920177628837,7315.140987042953,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837"
2022-12-16,"7160.920177628837,7315.140987042953,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837"
2022-12-19,"7160.920177628837,7315.140987042953,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837"
2022-12-20,"7160.920177628837,7315.140987042953,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837"
2022-12-21,"7160.920177628837,7315.140987042953,7898.354572162486,8277.422744527807,8491.800406080687,8761.371945139837,8988.283447374733"
2022-12-22,"7160.920177628837,7325.539684338833,7898.354572162486,8277.422744527807,8491.800406080687,8748.935065581476,8988.283447374733"
2022-12-23,"7160.920177628837,7325.539684338833,7898.354572162486,8277.422744527807,8491.800406080687,8748.935065581476,8988.283447374733"
2022-12-26,"7171.099645313604,7325.539684338833,7898.354572162486,8277.422744527807,8491.800406080687,8748.935065581476,8988.283447374733"
2022-12-27,"7171.099645313604,7325.539684338833,7898.354572162486,8277.422744527807,8491.800406080687,8748.935065581476,8988.283447374733"
2022-12-28,"7325.539684338833,7898.354572162486,8277.422744527807,8491.800406080687,8748.935065581476,8988.283447374733"
2022-12-29,"7325.539684338833,7898.354572162486,8277.422744527807,8576.661100147116,8748.935065581476,8988.283447374733"
2022-12-30,"7325.539684338833,7898.354572162486,8277.422744527807,8564.486419996187,8748.935065581476,8988.283447374733"
2023-01-02,"7321.1948140520935,7901.203844301824,8273.213368504777,8560.856610538349,8754.316825215908,8987.521673050902"
2023-01-03,"7325.458103882458,7897.806541106394,8275.33300565116,8559.165318129384,8749.99094147178,8991.600710124434"
2023-01-04,"7897.686472931558,8279.538045188872,8554.659302826196,8753.72555230238,8990.017480128423"
2023-01-05,"7897.686472931558,8269.520071929785,8554.659302826196,8753.72555230238,8990.017480128423"
2023-01-06,"7897.686472931558,8279.538045188872,8554.659302826196,8753.72555230238,8990.017480128423"
2023-01-09,"7897.686472931558,8279.538045188872,8554.659302826196,8753.72555230238,8990.017480128423"
2023-01-10,"7897.686472931558,8279.538045188872,8554.659302826196,8753.72555230238,8990.017480128423"
2023-01-11,"7897.058490479213,8273.362280746378,8372.70535114459,8503.636820186617,8554.538529871548,8750.759377632052,8994.321428592402"
2023-01-12,"7896.906572917336,8277.441533636798,8375.406647631376,8494.496444625045,8554.674847340519,8748.066788976335,8988.031487092936"
2023-01-13,"7896.906572917336,8277.441533636798,8375.406647631376,8494.496444625045,8554.674847340519,8748.066788976335,8988.031487092936"
2023-01-16,"7897.369676184779,8271.192530925046,8369.631222957663,8496.61306136769,8551.621910634316,8746.972644069003,8995.02940394889"
2023-01-17,"7897.156960922766,8373.265909318778,8501.001347393578,8552.639482575656,8753.50817497025,8986.263684774489"
2023-01-18,"7902.483652634051,8296.46653514483,8370.937613835004,8496.544528822376,8555.804380585163,8753.440879763299,8991.282051674534"
2023-01-19,"7896.629953928025,8172.172294977463,8302.568462874988,8375.907697366514,8502.074225557142,8554.575907036691,8752.436512944003,8798.742734725509,8994.337148051749"
2023-01-20,"8175.284015911954,8298.579599585903,8374.840514016558,8501.145709939065,8550.777259479211,8752.218022398563,8795.99753968731,8995.731230277488"
2023-01-24,"7901.239208608732,8298.579599585903,8374.840514016558,8501.145709939065,8550.777259479211,8752.218022398563,8795.99753968731,8995.731230277488"
2023-01-25,"8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8748.06501614246,8798.162055368824,8994.095565985977"
2023-01-26,"8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8748.06501614246,8798.162055368824,8994.095565985977"
2023-01-27,"8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8698.25323119119,8748.06501614246,8798.162055368824,8994.095565985977"
2023-01-30,"8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8698.25323119119,8748.06501614246,8798.162055368824,8994.095565985977"
2023-01-31,"7997.261195679531,8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8698.25323119119,8748.06501614246,8798.162055368824,8994.095565985977"
2023-02-01,"7997.261195679531,8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8698.25323119119,8748.06501614246,8798.162055368824,8994.095565985977"
2023-02-02,"7997.261195679531,8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8698.25323119119,8748.06501614246,8798.162055368824,8994.095565985977"
2023-02-03,"8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8698.25323119119,8748.06501614246,8798.162055368824,8994.095565985977"
2023-02-06,"8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8698.25323119119,8798.162055368824,9001.435566652217"
2023-02-07,"8303.05907275406,8371.068979322492,8501.826287594908,8550.513205700734,8698.25323119119,8798.162055368824,9001.435566652217"
2023-02-08,"8300.399185850163,8372.310939134308,8497.992669272253,8551.474103983455,8700.28992462346,8803.23735547685,8998.676231647594"
2023-02-09,"8300.63395500853,8375.96473667673,8496.639098015625,8547.968047240793,8697.27256414761,8749.813557909114,8802.671956466786,8996.974654215053"
2023-02-10,"8300.63395500853,8375.96473667673,8496.639098015625,8547.968047240793,8697.27256414761,8749.813557909114,8802.671956466786,8996.974654215053"
2023-02-13,"8297.746536091023,8375.96442521555,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538,8976.863404728529"
2023-02-14,"8297.746536091023,8375.96442521555,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538,8976.863404728529"
2023-02-15,"8297.746536091023,8375.96442521555,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538,8976.863404728529"
2023-02-16,"8297.746536091023,8375.96442521555,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538"
2023-02-17,"8297.746536091023,8375.96442521555,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538"
2023-02-20,"8297.746536091023,8375.96442521555,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538"
2023-02-21,"8297.746536091023,8375.96442521555,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538"
2023-02-22,"8297.746536091023,8375.96442521555,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538"
2023-02-23,"8297.746536091023,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538"
2023-02-24,"8297.746536091023,8375.96442521555,8497.741796536471,8553.117711454726,8702.55741441591,8797.280250740538"
2023-02-27,"8297.746536091023,8497.741796536471,8553.117711454726,8702.55741441591"
2023-02-28,"8297.746536091023,8497.741796536471,8553.117711454726,8702.55741441591,8746.63381024023"
2023-03-01,"8297.746536091023,8497.741796536471,8553.117711454726,8702.55741441591,8746.63381024023"
2023-03-02,"8297.746536091023,8497.741796536471,8553.117711454726,8702.55741441591,8746.63381024023"
2023-03-03,"8297.746536091023,8497.741796536471,8553.117711454726,8702.55741441591"
2023-03-06,"8297.746536091023,8497.741796536471,8553.117711454726,8702.55741441591"
2023-03-07,"8297.746536091023,8497.741796536471,8553.117711454726,8702.55741441591"
2023-03-08,"8297.746536091023,8497.741796536471,8553.117711454726,8702.55741441591"
2023-03-09,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591"
2023-03-10,"8297.746536091023,8448.819815876705,8497.741796536471,8577.844921253445,8702.55741441591"
2023-03-13,"8297.746536091023,8448.819815876705,8497.741796536471,8553.117711454726,8702.55741441591"
2023-03-14,"8297.746536091023,8448.819815876705,8497.741796536471,8553.117711454726,8702.55741441591"
2023-03-15,"8321.735463447854,8448.819815876705,8497.741796536471,8553.117711454726,8702.55741441591"
2023-03-16,"8297.746536091023,8448.819815876705,8497.741796536471,8553.117711454726,8702.55741441591"
2023-03-17,"8297.746536091023,8448.819815876705,8497.741796536471,8553.117711454726,8702.55741441591"
2023-03-20,"8297.746536091023,8448.819815876705,8497.741796536471,8577.844921253445,8702.55741441591"
2023-03-21,"8297.746536091023,8448.819815876705,8497.741796536471,8577.844921253445,8702.55741441591"
2023-03-24,"8297.746536091023,8448.819815876705,8497.741796536471,8577.844921253445,8702.55741441591"
2023-03-27,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591"
2023-03-28,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591"
2023-03-29,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8797.280250740538"
2023-03-30,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8797.280250740538"
2023-03-31,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538"
2023-04-03,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538"
2023-04-04,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538"
2023-04-05,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8797.280250740538"
2023-04-06,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538"
2023-04-10,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538"
2023-04-11,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538"
2023-04-12,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538,8899.454618115005"
2023-04-13,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538,8899.454618115005"
2023-04-14,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538"
2023-04-17,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538,9002.815670584276"
2023-04-18,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538,9002.815670584276"
2023-04-26,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538,9002.815670584276"
2023-04-27,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8752.948635296078,8797.280250740538,9002.815670584276"
2023-04-28,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8797.280250740538,9002.815670584276"
2023-05-02,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,9002.815670584276"
2023-05-03,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267"
2023-05-04,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,9002.815670584276"
2023-05-05,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,9002.815670584276"
2023-05-08,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-09,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-10,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-11,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-12,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-15,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-16,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-17,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-19,"8297.746536091023,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-22,"8321.735463447854,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-23,"8321.735463447854,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8899.454618115005,9002.815670584276"
2023-05-24,"8321.735463447854,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8925.18309384282,9002.815670584276"
2023-05-25,"8321.735463447854,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8925.18309384282,9002.815670584276"
2023-05-26,"8321.735463447854,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8925.18309384282,9002.815670584276"
2023-05-29,"8321.735463447854,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8925.18309384282,9002.815670584276,9146.900096839874"
2023-05-30,"8321.735463447854,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8925.18309384282,9002.815670584276,9146.900096839874"
2023-05-31,"8321.735463447854,8497.741796536471,8577.844921253445,8702.55741441591,8822.713338622267,8925.18309384282,9002.815670584276,9146.900096839874"
2023-06-05,"8299.882952968235,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9147.745310017493"
2023-06-06,"8299.882952968235,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9147.745310017493"
2023-06-07,"8322.980649788362,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9147.745310017493"
2023-06-08,"8322.980649788362,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9147.745310017493"
2023-06-09,"8322.980649788362,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9147.745310017493"
2023-06-12,"8322.980649788362,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9147.745310017493"
2023-06-13,"8322.980649788362,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9147.745310017493"
2023-06-14,"8322.980649788362,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9147.745310017493"
2023-06-15,"8322.980649788362,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9046.621000752037,9147.745310017493"
2023-06-16,"8173.986651040869,8322.980649788362,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9046.621000752037,9147.745310017493"
2023-06-19,"8173.986651040869,8322.980649788362,8498.274652782433,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9046.621000752037,9147.745310017493"
2023-06-20,"8173.986651040869,8322.980649788362,8474.690485080551,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-06-21,"8173.986651040869,8322.980649788362,8474.690485080551,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-06-22,"8322.980649788362,8474.690485080551,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-06-23,"8322.980649788362,8474.690485080551,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-06-26,"8322.980649788362,8474.690485080551,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-06-27,"8322.980649788362,8474.690485080551,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-07-03,"8322.980649788362,8474.690485080551,8575.37741738917,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-07-04,"8322.980649788362,8551.579276309743,8701.408499778487,8823.159758204903,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-07-05,"8322.980649788362,8551.579276309743,8701.408499778487,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-07-06,"8322.980649788362,8551.579276309743,8701.408499778487,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-07-07,"8322.980649788362,8551.579276309743,8701.408499778487,8921.786188560842,9002.731369609213,9052.908390588973,9147.745310017493"
2023-07-10,"8322.980649788362,8701.408499778487,9002.731369609213,9052.908390588973,9147.745310017493"
2023-07-11,"8322.980649788362,8701.408499778487,9052.908390588973,9147.745310017493"
2023-07-12,"8322.980649788362,8701.408499778487,9052.908390588973,9147.745310017493"
2023-07-13,"8299.882952968235,8474.690485080551,8701.408499778487,9052.908390588973,9147.745310017493"
2023-07-14,"8299.882952968235,8474.690485080551,8701.408499778487,9052.908390588973,9147.745310017493"
2023-07-17,"8322.980649788362,8474.690485080551,8701.408499778487,9052.908390588973,9147.745310017493"
2023-07-18,"8322.980649788362,8474.690485080551,8701.408499778487,9052.908390588973,9147.745310017493"
2023-07-20,"8322.980649788362,8474.690485080551,8701.408499778487,9052.908390588973,9147.745310017493"
2023-07-21,"8322.980649788362,8474.690485080551,8701.408499778487,9052.908390588973,9147.745310017493"
2023-07-24,"8322.980649788362,8474.690485080551,8701.408499778487,8823.159758204903,9052.908390588973,9147.745310017493"
2023-07-25,"8327.313401912692,8476.229112520477,8699.102189730203,8826.684568428895,9001.609028542836,9047.31082618182,9150.990030247955"
2023-07-26,"8324.70005683731,8698.870062341628,8825.36339722399,8924.36669134311,9000.82381801236,9048.199576011035,9149.702655663721"
2023-07-27,"8324.70005683731,8698.870062341628,8825.36339722399,8924.36669134311,9000.82381801236,9048.199576011035,9149.702655663721"
2023-07-28,"8324.70005683731,8698.870062341628,8825.36339722399,8924.36669134311,9000.82381801236,9048.199576011035,9149.702655663721"
2023-07-31,"8698.870062341628,8825.36339722399,8924.36669134311,9000.82381801236,9048.199576011035,9149.702655663721"
2023-08-01,"8698.870062341628,8825.36339722399,8924.36669134311,9000.82381801236,9048.199576011035,9149.702655663721"
2023-08-02,"8698.870062341628,8825.36339722399,8924.36669134311,9000.82381801236,9048.199576011035,9149.702655663721"
2023-08-03,"8474.839031812555,8699.871383619267,8825.124774553131,8925.561333397724,9000.297912534692,9048.67298495345,9151.65369060186"
2023-08-04,"8699.871383619267,8825.124774553131,8925.561333397724,9000.297912534692,9048.67298495345,9151.65369060186"
2023-08-07,"8699.871383619267,8825.124774553131,8925.561333397724,9000.297912534692,9048.67298495345,9151.65369060186"
2023-08-08,"8825.124774553131,8925.561333397724,9000.297912534692,9048.67298495345,9151.65369060186,9200.84227461725"
2023-08-09,"8827.39832849839,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-10,"8827.39832849839,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-11,"8827.39832849839,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-14,"8827.39832849839,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-15,"8827.39832849839,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-16,"8827.39832849839,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-18,"8827.39832849839,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-21,"8827.39832849839,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-22,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-23,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571"
2023-08-24,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-08-25,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-08-28,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-08-29,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-08-30,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-08-31,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-09-01,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-09-04,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-09-05,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-09-06,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-09-07,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-09-08,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9151.81336632571,9197.486210623383"
2023-09-11,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-12,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-13,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-14,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-15,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-18,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-19,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-20,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-21,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-22,"8799.97584685633,8926.828734221408,8999.33538240649,9049.876996399993,9072.430953510066,9123.383083167488,9151.81336632571,9197.486210623383"
2023-09-25,"8801.289815474103,8924.080651028615,9001.693352709693,9048.584597912519,9074.740754528792,9100.972519050536,9127.280110032621,9148.380925141877,9174.825556528596,9201.346629696094"
2023-09-26,"8826.177472429852,8926.012948891748,9001.6299424617,9052.396821735401,9072.783650625843,9098.331764022312,9123.951818525642,9149.644016715283,9175.408561741138,9201.245657325153,9300.091890882572"
