date,levels
2022-05-20,
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-27,
2022-05-30,
2022-05-31,
2022-06-02,
2022-06-03,
2022-06-06,
2022-06-07,
2022-06-08,
2022-06-09,
2022-06-10,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-20,
2022-06-21,
2022-06-22,
2022-06-23,
2022-06-24,
2022-06-27,
2022-06-28,
2022-06-29,
2022-06-30,
2022-07-01,
2022-07-04,
2022-07-05,
2022-07-06,
2022-07-07,
2022-07-08,
2022-07-11,
2022-07-12,
2022-07-13,
2022-07-14,
2022-07-15,
2022-07-18,
2022-07-19,
2022-07-20,
2022-07-21,
2022-07-22,
2022-07-25,
2022-07-26,
2022-07-27,
2022-07-28,
2022-07-29,
2022-08-01,
2022-08-02,
2022-08-03,
2022-08-04,
2022-08-05,
2022-08-08,
2022-08-09,
2022-08-10,
2022-08-11,
2022-08-12,
2022-08-15,
2022-08-16,
2022-08-18,
2022-08-19,
2022-08-22,
2022-08-23,
2022-08-24,
2022-08-25,
2022-08-26,
2022-08-29,
2022-08-30,
2022-08-31,
2022-09-01,
2022-09-02,
2022-09-05,
2022-09-06,
2022-09-07,
2022-09-08,
2022-09-09,
2022-09-12,
2022-09-13,
2022-09-14,
2022-09-15,
2022-09-16,
2022-09-19,
2022-09-20,
2022-09-21,
2022-09-22,
2022-09-23,
2022-09-26,
2022-09-27,
2022-09-28,
2022-09-29,
2022-09-30,
2022-10-03,
2022-10-04,
2022-10-05,
2022-10-06,
2022-10-07,
2022-10-10,
2022-10-11,
2022-10-12,
2022-10-13,
2022-10-14,
2022-10-17,
2022-10-18,
2022-10-19,
2022-10-20,
2022-10-21,
2022-10-24,
2022-10-25,
2022-10-26,
2022-10-27,
2022-10-28,
2022-10-31,
2022-11-01,
2022-11-02,
2022-11-03,
2022-11-04,
2022-11-07,
2022-11-08,
2022-11-09,"7161.529361833503,7353.225645092373,7495.856269391977,7586.401943952178,7902.517807731003,8281.37434594619,8762.156964286341"
2022-11-10,"7161.529361833503,7344.401884029706,7495.856269391977,7586.401943952178,7902.517807731003,8281.37434594619,8772.684054261439"
2022-11-11,"7161.529361833503,7344.401884029706,7495.856269391977,7586.401943952178,7902.517807731003,8281.37434594619,8772.684054261439"
2022-11-14,"7161.529361833503,7335.5887113486615,7495.856269391977,7586.401943952178,7902.517807731003,8281.37434594619,8762.156964286341"
2022-11-15,"7161.529361833503,7335.5887113486615,7495.856269391977,7595.516450366152,7902.517807731003,8281.37434594619,8772.684054261439"
2022-11-16,"7161.529361833503,7335.5887113486615,7495.856269391977,7604.641907192164,7902.517807731003,8281.37434594619,8772.684054261439"
